key,en,ja,ko,zh-TW,zh-CN,es,pt,ru,fr,vi
boss4,Death Titan,死の巨人,죽음의 거인,死亡巨人,死亡巨人,Titán de la Muerte,Titã da Morte,Титан Смерти,Titan de la Mort,Thần Chết
bossBattle,BOSS BATTLE!,ボス戦！,보스전!,魔王戰！,魔王战！,¡BATALLA DE JEFE!,BATALHA DE CHEFE!,БОЙ С БОССОМ!,COMBAT DE BOSS !,ĐÁNH BOSS!
chapter1,The Warrior's Dawn,戦士の夜明け,전사의 새벽,戰士的黎明,战士的黎明,El Amanecer del Guerrero,O Amanhecer do Guerreiro,Рассвет Воина,L'Aube du Guerrier,Bình Minh Chiến Binh
chapter2,Echoes of Momentum,反響する力,반동의 메아리,動量的迴響,动量的回响,Ecos del Impulso,Ecos do Impulso,Эхо Импульса,Échos de l'Élan,Tiếng Vọng Động Lực
chapter3,Wings of Light,光の翼,빛의 날개,光之羽翼,光之羽翼,Alas de Luz,Asas de Luz,Крылья Света,Ailes de Lumière,Đôi Cánh Ánh Sáng
chapter4,The Final Beam,最後の光線,마지막 광선,最後的光束,最后的光束,El Rayo Final,O Raio Final,Последний Луч,Le Rayon Final,Tia Sáng Cuối Cùng
cheatMode,CHEAT MODE,チートモード,치트 모드,作弊模式,作弊模式,MODO TRAMPA,MODO TRAPAÇA,ЧИТ-РЕЖИМ,MODE TRICHE,CHẾ ĐỘ ĂN GIAN
cleric,Cleric,クレリック,성직자,牧師,牧师,Clérigo,Clérigo,Жрец,Clerc,Thầy tu
clickToStart,CLICK OR PRESS ANY BUTTON TO START,ボタンを押してスタート,아무 버튼이나 누르세요,按任意鍵開始,按任意键开始,PRESIONA CUALQUIER BOTÓN,PRESSIONE QUALQUER BOTÃO,НАЖМИТЕ ЛЮБУЮ КНОПКУ,APPUYEZ SUR UN BOUTON,NHẤN BẤT KỲ NÚT NÀO
confirm,CONFIRM,確定,확인,確認,确认,CONFIRMAR,CONFIRMAR,ПОДТВЕРДИТЬ,CONFIRMER,XÁC NHẬN
costFontSize,8px,7px,8px,8px,8px,8px,8px,8px,8px,10px
descArcher,Shoots arrows,矢を放つ,화살 발사,射箭,射箭,Dispara flechas,Atira flechas,Стреляет стрелами,Tire des flèches,Bắn tên
descBerserker,Spin attack,回転攻撃,회전 공격,旋轉攻擊,旋转攻击,Ataque giratorio,Ataque giratório,Вращающаяся атака,Attaque tourbillon,Xoay tấn công
descBomber,Explosive shots,爆発弾,폭발탄,爆炸彈,爆炸弹,Disparos explosivos,Tiros explosivos,Взрывные выстрелы,Tirs explosifs,Đạn nổ
descCleric,Heals you,回復,회복,治療,治疗,Te cura,Cura você,Лечит вас,Vous soigne,Hồi máu
descFontSize,7px,9px,8px,9px,9px,7px,7px,7px,7px,10px
descFrost,Slows enemies,敵を減速,적 감속,減速敵人,减速敌人,Ralentiza enemigos,Desacelera inimigos,Замедляет врагов,Ralentit ennemis,Làm chậm địch
descKnight,Sword slash,剣で斬る,검 베기,劍擊,剑击,Corte de espada,Corte de espada,Удар мечом,Coup d'épée,Chém kiếm
descMage,AOE magic,範囲魔法,범위 마법,範圍魔法,范围魔法,Magia de área,Magia de área,Магия области,Magie de zone,Phép vùng
descNinja,Fast attacks,高速攻撃,빠른 공격,快速攻擊,快速攻击,Ataques rápidos,Ataques rápidos,Быстрые атаки,Attaques rapides,Đánh nhanh
descVampire,Lifesteal hits,HP吸収,HP 흡수,吸血攻擊,吸血攻击,Roba vida,Rouba vida,Похищает жизнь,Vol de vie,Hút máu
descWizard,Lightning,雷撃,번개,閃電,闪电,Relámpago,Relâmpago,Молния,Éclair,Sét đánh
dialogueHint,[SPACE] to continue,[スペース] 続ける,[스페이스] 계속,[空白鍵] 繼續,[空格键] 继续,[ESPACIO] continuar,[ESPAÇO] continuar,[ПРОБЕЛ] продолжить,[ESPACE] continuer,[SPACE] tiếp tục
dialogueHintGamepad,[X] to continue,[X] 続ける,[X] 계속,[X] 繼續,[X] 继续,[X] continuar,[X] continuar,[X] продолжить,[X] continuer,[X] tiếp tục
ending,Ending,エンディング,엔딩,結局,结局,Final,Final,Финал,Fin,Kết Thúc
enterName,Enter Your Name,名前を入力,이름 입력,輸入你的名字,输入你的名字,Ingresa tu Nombre,Digite Seu Nome,Введите Ваше Имя,Entrez Votre Nom,Nhập Tên Của Bạn
finalScore,Final Score,最終スコア,최종 점수,最終分數,最终分数,Puntuación Final,Pontuação Final,Финальный счёт,Score Final,Điểm cuối
frost,Frost,フロスト,프로스트,冰霜,冰霜,Hielo,Gelo,Лёд,Givre,Băng giá
gameOver,GAME OVER,ゲームオーバー,게임 오버,遊戲結束,游戏结束,FIN DEL JUEGO,FIM DE JOGO,ИГРА ОКОНЧЕНА,FIN DE PARTIE,KẾT THÚC
heroAngel,Angel,天使,천사,天使,天使,Ángel,Anjo,Ангел,Ange,Thiên Thần
heroBouncer,Bouncer,バウンサー,바운서,彈跳者,弹跳者,Rebotador,Saltador,Прыгун,Rebond,Nảy
heroLaser,Laser,レーザー,레이저,雷射,激光,Láser,Laser,Лазер,Laser,Laser
heroWarrior,Warrior,戦士,전사,戰士,战士,Guerrero,Guerreiro,Воин,Guerrier,Chiến Binh
highScore,HIGH SCORE,ハイスコア,최고 점수,最高分,最高分,RÉCORD,RECORDE,РЕКОРД,RECORD,KỶ LỤC
hp,HP,HP,HP,HP,HP,HP,HP,HP,PV,HP
inputSupport,⌨️ KEYBOARD / GAMEPAD 🎮 SUPPORTED,⌨️ キーボード / コントローラー 🎮 対応,⌨️ 키보드 / 게임패드 🎮 지원,⌨️ 支援鍵盤 / 手把 🎮,⌨️ 支持键盘 / 手柄 🎮,⌨️ TECLADO / MANDO 🎮 COMPATIBLE,⌨️ TECLADO / CONTROLE 🎮 SUPORTADO,⌨️ КЛАВИАТУРА / ГЕЙМПАД 🎮,⌨️ CLAVIER / MANETTE 🎮 SUPPORTÉS,⌨️ HỖ TRỢ BÀN PHÍM / TAY CẦM 🎮
instructAutopilot,- Toggle autopilot,- オート切替,- 자동 전환,- 自動模式,- 自动模式,- Auto piloto,- Auto piloto,- Автопилот,- Auto pilote,- Tự động
instructAutopilotGP,L1 / LB,L1 / LB,L1 / LB,L1 / LB,L1 / LB,L1 / LB,L1 / LB,L1 / LB,L1 / LB,L1 / LB
instructMove,- Move,- 移動,- 이동,- 移動,- 移动,- Mover,- Mover,- Движение,- Déplacer,- Di chuyển
instructMoveGP,L-Stick,Lスティック,L스틱,L搖桿,L摇杆,L-Stick,L-Stick,L-Stick,L-Stick,L-Stick
instructPause,- Pause,- 一時停止,- 일시정지,- 暫停,- 暂停,- Pausar,- Pausar,- Пауза,- Pause,- Tạm dừng
instructPauseGP,Options / Start,Options / Start,Options / Start,Options / Start,Options / Start,Options / Start,Options / Start,Options / Start,Options / Start,Options / Start
instructSkill,- Use skill (when available),- スキル発動（所持時）,- 스킬 사용 (보유 시),- 使用技能（持有時）,- 使用技能（持有时）,- Usar habilidad (cuando esté disponible),- Usar habilidade (quando disponível),- Использовать умение (когда доступно),- Utiliser compétence (si disponible),- Dùng kỹ năng (khi có)
instructSkillGP,X / A Button,X / Aボタン,X / A 버튼,X / A 鍵,X / A 键,Botón X / A,Botão X / A,Кнопка X / A,Bouton X / A,Nút X / A
instructSummon,- Summon sprites (Press/Hold),- スプライト召喚 (押す/長押し),- 스프라이트 소환 (누르기/길게),- 召喚精靈 (按/長按),- 召唤精灵 (按/长按),- Invocar sprites (Pulsar/Mantener),- Invocar sprites (Pressionar/Segurar),- Призыв спрайтов (Нажать/Удерж.),- Invoquer des sprites (Appuyer/Maintenir),- Triệu hồi sprite (Nhấn/Giữ)
instructSummonGP,Face Buttons / R-Stick,フェイスボタン / Rスティック,페이스 버튼 / R스틱,功能鍵 / R搖桿,功能键 / R摇杆,Botones / R-Stick,Botões / R-Stick,Кнопки / R-Stick,Boutons / R-Stick,Nút Bấm / R-Stick
instructTip,"Collect orbs, summon sprites, survive!",オーブを集め、スプライトを召喚し、生き残れ！,"오브를 모으고, 스프라이트를 소환하고, 살아남아라!",收集寶珠，召喚精靈，活下去！,收集宝珠，召唤精灵，活下去！,"¡Recoge orbes, invoca sprites, sobrevive!","Colete orbes, invoque sprites, sobreviva!","Собирай сферы, призывай спрайтов, выживай!","Collecte des orbes, invoque des sprites, survis !","Thu thập cầu, triệu hồi sprite, sinh tồn!"
knight,Knight,ナイト,기사,騎士,骑士,Caballero,Cavaleiro,Рыцарь,Chevalier,Hiệp sĩ
language,LANGUAGE,言語,언어,語言,语言,IDIOMA,IDIOMA,ЯЗЫК,LANGUE,T.Noi
mage,Mage,メイジ,마법사,法師,法师,Mago,Mago,Маг,Mage,Pháp sư
mainMenu,MAIN MENU,メインメニュー,메인 메뉴,主選單,主菜单,MENU PRINCIPAL,MENU PRINCIPAL,ГЛАВНОЕ МЕНЮ,MENU PRINCIPAL,MENU CHÍNH
namePrompt,The heroes wish to know who answered their call.,英雄たちはあなたの名前を知りたがっています。,영웅들이 당신의 이름을 알고 싶어합니다.,英雄們想知道是誰回應了他們的呼喚。,英雄们想知道是谁回应了他们的呼唤。,Los héroes desean saber quién respondió a su llamado.,Os heróis desejam saber quem respondeu ao seu chamado.,"Герои желают знать, кто откликнулся на их зов.",Les héros souhaitent savoir qui a répondu à leur appel.,Các anh hùng muốn biết ai đã đáp lời kêu gọi của họ.
nameRequired,Please enter a name,名前を入力してください,이름을 입력해주세요,請輸入名字,请输入名字,Por favor ingresa un nombre,Por favor digite um nome,"Пожалуйста, введите имя",Veuillez entrer un nom,Vui lòng nhập tên
nextWave,Next wave,次のウェーブ,다음 웨이브,下一波,下一波,Siguiente oleada,Próxima onda,Следующая волна,Prochaine vague,Đợt tiếp theo
ninja,Ninja,ニンジャ,닌자,忍者,忍者,Ninja,Ninja,Ниндзя,Ninja,Ninja
pauseHint,Press ESC to resume,ESCで再開,ESC로 재개,按ESC繼續,按ESC继续,Presiona ESC para continuar,Pressione ESC para continuar,Нажмите ESC для продолжения,Appuyez sur ESC pour reprendre,Nhấn ESC để tiếp tục
paused,PAUSED,一時停止,일시정지,暫停,暂停,PAUSADO,PAUSADO,ПАУЗА,PAUSE,TẠM DỪNG
playAgain,PLAY AGAIN,もう一度,다시 하기,再玩一次,再玩一次,JUGAR DE NUEVO,JOGAR NOVAMENTE,ИГРАТЬ СНОВА,REJOUER,CHƠI LẠI
points,POINTS,ポイント,포인트,點數,点数,PUNTOS,PONTOS,ОЧКИ,POINTS,ĐIỂM
pressSpace,[SPACE],[スペース],[스페이스],[空白鍵],[空格键],[ESPACIO],[ESPAÇO],[ПРОБЕЛ],[ESPACE],[SPACE]
restart,RESTART,リスタート,재시작,重新開始,重新开始,REINICIAR,REINICIAR,ЗАНОВО,RECOMMENCER,CHƠI LẠI
resume,RESUME,再開,재개,繼續,继续,CONTINUAR,CONTINUAR,ПРОДОЛЖИТЬ,REPRENDRE,TIẾP TỤC
score,SCORE,スコア,점수,分數,分数,PUNTOS,PONTOS,СЧЁТ,SCORE,ĐIỂM
skill,SKILL,スキル,스킬,技能,技能,HABILIDAD,HABILIDADE,УМЕНИЕ,COMPÉTENCE,KỸ NĂNG
skillDash,DASH,ダッシュ,대시,衝刺,冲刺,DASH,DASH,РЫВОК,DASH,LƯỚT
skillHeal,FULL HEAL,全回復,전체 회복,完全回復,完全恢复,CURACIÓN TOTAL,CURA TOTAL,ПОЛНОЕ ИСЦЕЛЕНИЕ,SOIN COMPLET,HỒI ĐẦY
skillHero,HERO,ヒーロー,영웅,英雄,英雄,HÉROE,HERÓI,ГЕРОЙ,HÉROS,ANH HÙNG
skillMagnet,ORB MAGNET,オーブ吸引,오브 흡수,寶珠吸收,宝珠吸收,IMÁN DE ORBES,IMÃ DE ORBES,МАГНИТ СФЕР,AIMANT À ORBES,HÚT CẦU
skillNuke,SCREEN BLAST,全画面攻撃,전체 공격,全螢幕攻擊,全屏攻击,EXPLOSIÓN,EXPLOSÃO,ВЗРЫВ,EXPLOSION,NỔ MÀN HÌNH
spriteFontSize,6px,8px,8px,9px,9px,6px,6px,6px,6px,10px
sprites,SPRITES,スプライト,스프라이트,精靈,精灵,SPRITES,SPRITES,СПРАЙТЫ,SPRITES,SPRITE
startGame,START GAME,ゲームスタート,게임 시작,開始遊戲,开始游戏,INICIAR JUEGO,INICIAR JOGO,НАЧАТЬ ИГРУ,JOUER,BẮT ĐẦU
storyMode,STORY MODE,ストーリーモード,스토리 모드,故事模式,故事模式,MODO HISTORIA,MODO HISTÓRIA,РЕЖИМ ИСТОРИИ,MODE HISTOIRE,CHẾ ĐỘ CỐT TRUYỆN
story_1_1,Your consciousness drifts through an endless void... Until a voice calls out to you.,お前の意識は果てしない虚空を漂う... 声がお前を呼ぶまで。,네 의식이 끝없는 허공을 떠다닌다... 목소리가 너를 부를 때까지.,你的意識漂浮在無盡的虛空中... 直到一個聲音呼喚你。,你的意识漂浮在无尽的虚空中... 直到一个声音呼唤你。,Tu conciencia flota en un vacío sin fin... Hasta que una voz te llama.,Sua consciência flutua em um vazio sem fim... Até que uma voz te chama.,Твоё сознание дрейфует в бесконечной пустоте... Пока голос не окликнет тебя.,Ta conscience dérive dans un vide sans fin... Jusqu'à ce qu'une voix t'appelle.,Ý thức của ngươi trôi nổi trong khoảng không vô tận... Cho đến khi một giọng nói gọi ngươi.
story_1_2,Can you hear me...? Please... if anyone can hear this...,聞こえるか...？ 誰か... この声が届く者はいないか...,들리는가...? 제발... 누구든 이 목소리가 들린다면...,聽得到嗎...？ 求求你... 如果有人能聽到這個聲音...,听得到吗...？ 求求你... 如果有人能听到这个声音...,¿Puedes oírme...? Por favor... si alguien puede escuchar esto...,Você pode me ouvir...? Por favor... se alguém puder ouvir isso...,Ты слышишь меня...? Пожалуйста... если кто-то может это услышать...,Tu m'entends...? S'il te plaît... si quelqu'un peut entendre ceci...,Ngươi có nghe ta không...? Làm ơn... nếu ai đó có thể nghe thấy điều này...
story_1_3,"Four faint lights flicker before you. One burns brighter than the rest - orange, like a dying flame.",四つの微かな光がお前の前で揺らめく。一つは特に明るく燃えている - オレンジ色、消えかけの炎のように。,"네 앞에 네 개의 희미한 빛이 깜박인다. 하나가 유독 밝게 타오른다 - 오렌지색, 꺼져가는 불꽃처럼.",四道微弱的光芒在你面前閃爍。其中一道燃燒得更亮 - 橘色的，像垂死的火焰。,四道微弱的光芒在你面前闪烁。其中一道燃烧得更亮 - 橘色的，像垂死的火焰。,"Cuatro luces tenues parpadean ante ti. Una brilla más que las demás - naranja, como una llama moribunda.","Quatro luzes fracas piscam diante de você. Uma brilha mais que as outras - laranja, como uma chama moribunda.","Четыре тусклых огня мерцают перед тобой. Один горит ярче остальных - оранжевый, как угасающее пламя.","Quatre faibles lumières scintillent devant toi. L'une brille plus que les autres - orange, comme une flamme mourante.","Bốn ánh sáng mờ nhạt lập lòe trước mặt ngươi. Một trong số đó cháy sáng hơn cả - màu cam, như ngọn lửa sắp tắt."
story_1_4,You... you actually came. I am Rex. I was once called the Warrior of Dawn.,お前... 本当に来てくれたのか。我はレックス。かつて「暁の戦士」と呼ばれた者だ。,너... 정말 왔구나. 나는 렉스. 한때 '새벽의 전사'라 불렸다.,你... 你真的來了。我是雷克斯。曾經被稱為「黎明戰士」。,你... 你真的来了。我是雷克斯。曾经被称为「黎明战士」。,Tú... realmente viniste. Soy Rex. Una vez me llamaron el Guerrero del Amanecer.,Você... realmente veio. Eu sou Rex. Um dia me chamaram de Guerreiro do Amanhecer.,Ты... ты действительно пришёл. Я Рекс. Когда-то меня называли Воином Рассвета.,Tu... tu es vraiment venu. Je suis Rex. On m'appelait autrefois le Guerrier de l'Aube.,Ngươi... ngươi thực sự đã đến. Ta là Rex. Ngày xưa ta được gọi là Chiến Binh Bình Minh.
story_1_5,We don't have much time. The demons... they've taken everything from us.,時間がない。魔族が... 我々から全てを奪った。,시간이 없다. 마족이... 우리에게서 모든 것을 빼앗았다.,時間不多了。惡魔... 從我們這裡奪走了一切。,时间不多了。恶魔... 从我们这里夺走了一切。,No tenemos mucho tiempo. Los demonios... nos han quitado todo.,Não temos muito tempo. Os demônios... tiraram tudo de nós.,У нас мало времени. Демоны... они отняли у нас всё.,Nous n'avons pas beaucoup de temps. Les démons... ils nous ont tout pris.,Chúng ta không có nhiều thời gian. Bọn quỷ... chúng đã lấy đi tất cả của chúng ta.
story_1_6,But you're different. You can interact with this world in ways we cannot.,だがお前は違う。我々にはできない方法でこの世界に干渉できる。,하지만 너는 다르다. 우리가 할 수 없는 방식으로 이 세계와 상호작용할 수 있다.,但你不同。你能以我們做不到的方式與這個世界互動。,但你不同。你能以我们做不到的方式与这个世界互动。,Pero tú eres diferente. Puedes interactuar con este mundo de maneras que nosotros no podemos.,Mas você é diferente. Você pode interagir com este mundo de maneiras que nós não podemos.,"Но ты другой. Ты можешь взаимодействовать с этим миром так, как мы не можем.",Mais tu es différent. Tu peux interagir avec ce monde d'une façon que nous ne pouvons pas.,Nhưng ngươi khác biệt. Ngươi có thể tương tác với thế giới này theo cách mà chúng ta không thể.
story_1_7,"In our world, the spirits of great warriors past linger as Sprites. You have the gift to command them.",我々の世界では、偉大な戦士たちの魂がスプライトとして残っている。お前にはそれを操る才能がある。,"우리 세계에서, 위대한 전사들의 혼은 스프라이트로 남아있다. 너에게는 그들을 지휘할 재능이 있다.",在我們的世界，偉大戰士的靈魂以精靈的形式留存。你有指揮他們的天賦。,在我们的世界，伟大战士的灵魂以精灵的形式留存。你有指挥他们的天赋。,"En nuestro mundo, los espíritus de grandes guerreros del pasado perduran como Sprites. Tienes el don de comandarlos.","Em nosso mundo, os espíritos de grandes guerreiros do passado perduram como Sprites. Você tem o dom de comandá-los.",В нашем мире духи великих воинов прошлого существуют как Спрайты. У тебя есть дар управлять ими.,"Dans notre monde, les esprits des grands guerriers du passé perdurent en tant que Sprites. Tu as le don de les commander.","Trong thế giới của chúng ta, linh hồn của những chiến binh vĩ đại ngày xưa tồn tại như những Sprite. Ngươi có năng khiếu chỉ huy họ."
story_1_8,"There! That presence... it's the Archer. Go to it, {name}. Walk toward the light and claim its power!",あそこだ！あの気配は... アーチャーだ。行け、{name}。光に向かい、その力を手に入れるのだ！,"저기다! 저 기운은... 아처다. 가라, {name}. 빛을 향해 가서 그 힘을 얻어라!",在那裡！那個存在... 是弓箭手。去吧，{name}。走向光芒，將它的力量據為己有！,在那里！那个存在... 是弓箭手。去吧，{name}。走向光芒，将它的力量据为己有！,"¡Allí! Esa presencia... es el Arquero. Ve hacia ella, {name}. Camina hacia la luz y reclama su poder.","Ali! Aquela presença... é o Arqueiro. Vá até ela, {name}. Caminhe em direção à luz e reivindique seu poder!","Там! Это присутствие... это Лучник. Иди к нему, {name}. Иди к свету и забери его силу!","Là ! Cette présence... c'est l'Archer. Va vers elle, {name}. Marche vers la lumière et réclame son pouvoir !","Kia kìa! Sự hiện diện đó... là Cung Thủ. Đi đến đó, {name}. Bước về phía ánh sáng và chiếm lấy sức mạnh của nó!"
story_2_1,You return to the sprite realm. A cyan light flickers weakly in the volcanic haze.,お前は精霊界に戻る。シアン色の光が火山の霞の中で弱々しく揺らめく。,영혼계로 돌아간다. 시안색 빛이 화산 안개 속에서 약하게 깜박인다.,你回到了精靈界。青色的光在火山霧氣中微弱地閃爍。,你回到了精灵界。青色的光在火山雾气中微弱地闪烁。,Regresas al reino espiritual. Una luz cian parpadea débilmente en la bruma volcánica.,Você retorna ao reino espiritual. Uma luz ciano pisca fracamente na névoa vulcânica.,Ты возвращаешься в мир духов. Бирюзовый свет слабо мерцает в вулканической дымке.,Tu retournes dans le royaume des esprits. Une lumière cyan vacille faiblement dans la brume volcanique.,Ngươi trở về vương quốc linh hồn. Một ánh sáng xanh lam nhạt nhấp nháy yếu ớt trong sương mù núi lửa.
story_2_2,So you're the one Rex told me about.,お前がレックスの言っていた奴か。,네가 렉스가 말한 그 사람이구나.,你就是雷克斯說的那個人。,你就是雷克斯说的那个人。,Así que tú eres de quien Rex me habló.,Então você é aquele de quem Rex me falou.,"Так ты тот, о ком мне рассказывал Рекс.",Alors tu es celui dont Rex m'a parlé.,Vậy ngươi là người mà Rex đã nói với ta.
story_2_3,I'm Beth. They called me the Bouncer back when I could actually fight.,私はベス。実際に戦えていた頃は「バウンサー」と呼ばれていた。,나는 베스. 실제로 싸울 수 있었을 때는 '바운서'라고 불렸지.,我是貝絲。在我還能真正戰鬥的時候，他們叫我「彈跳者」。,我是贝丝。在我还能真正战斗的时候，他们叫我「弹跳者」。,Soy Beth. Me llamaban la Rebotadora cuando aún podía pelear de verdad.,Eu sou Beth. Me chamavam de Saltadora quando eu ainda podia lutar de verdade.,"Я Бет. Меня называли Прыгуном, когда я ещё могла сражаться по-настоящему.",Je suis Beth. On m'appelait la Rebond quand je pouvais encore vraiment me battre.,Ta là Beth. Họ gọi ta là Người Nảy khi ta còn có thể thực sự chiến đấu.
story_2_4,"My power was all about momentum - keeping things moving, ricocheting attacks.",私の力は勢いの全て - 物を動かし続け、攻撃を跳ね返すこと。,"내 힘은 운동량에 관한 거야 - 계속 움직이고, 공격을 튕겨내는 것.",我的力量關乎動量 - 讓事物持續移動，反彈攻擊。,我的力量关乎动量 - 让事物持续移动，反弹攻击。,"Mi poder era todo sobre impulso - mantener las cosas en movimiento, rebotar ataques.","Meu poder era todo sobre impulso - manter as coisas em movimento, ricochetear ataques.","Моя сила была в импульсе - держать всё в движении, отражать атаки.","Mon pouvoir était tout sur l'élan - garder les choses en mouvement, faire ricocher les attaques.","Sức mạnh của ta là về động lượng - giữ mọi thứ chuyển động, dội lại các đòn tấn công."
story_2_5,The demons twisted that. My Remnant... it's chaos incarnate now.,魔族がそれを歪めた。私のレムナントは... 今や混沌の化身だ。,마족이 그걸 비틀었어. 내 잔재는... 이제 혼돈 그 자체야.,惡魔扭曲了它。我的殘餘... 現在是混沌的化身。,恶魔扭曲了它。我的残余... 现在是混沌的化身。,Los demonios lo retorcieron. Mi Vestigio... ahora es el caos encarnado.,Os demônios distorceram isso. Meu Vestígio... agora é o caos encarnado.,Демоны исказили это. Мой Останок... теперь он воплощение хаоса.,Les démons ont tordu ça. Mon Vestige... c'est maintenant le chaos incarné.,Bọn quỷ đã xoắn méo điều đó. Tàn Dư của ta... giờ là hiện thân của hỗn loạn.
story_2_6,"You'll need to learn to dodge, {name}. And if you can't dodge...",避けることを学ばないとね、{name}。避けられないなら...,"피하는 법을 배워야 해, {name}. 피할 수 없다면...",你需要學會閃避，{name}。如果閃避不了...,你需要学会闪避，{name}。如果闪避不了...,"Necesitarás aprender a esquivar, {name}. Y si no puedes esquivar...","Você precisará aprender a esquivar, {name}. E se não puder esquivar...","Тебе нужно научиться уворачиваться, {name}. А если не можешь уклониться...","Tu devras apprendre à esquiver, {name}. Et si tu ne peux pas esquiver...","Ngươi sẽ cần học cách né tránh, {name}. Và nếu ngươi không thể né..."
story_2_7,...reflect it right back at them.,...そのまま跳ね返せ。,...그대로 튕겨내.,...就把它反彈回去。,...把它直接反弹回去。,...reflejarlo directamente de vuelta.,...refletir de volta para eles.,...отразить обратно в них.,...le renvoyer directement.,...phản lại ngay về phía chúng.
